"ID"	"ERR2493560"	"ERR2493561"	"ERR2493562"	"ERR2493563"	"ERR2493564"	"ERR2493565"	"ERR2493566"	"ERR2493567"	"ERR2493568"	"ERR2493569"	"ERR2493570"	"ERR2493571"	"ERR2493572"	"ERR2493573"	"ERR2493574"	"ERR2493575"	"ERR2493576"	"ERR2493577"	"ERR2493578"	"ERR2493579"	"ERR2493580"	"ERR2493581"	"ERR2493582"	"ERR2493583"	"ERR2493584"	"ERR2493585"	"ERR2493586"	"ERR2493587"	"ERR2493588"	"ERR2493589"	"ERR2493590"	"ERR2493591"	"ERR2493592"	"ERR2493593"	"ERR2493594"	"ERR2493595"	"ERR2493596"	"ERR2493597"	"ERR2493598"	"ERR2493599"	"ERR2493600"	"ERR2493601"	"ERR2493602"	"ERR2493603"	"ERR2493604"	"ERR2493605"	"ERR2493606"	"ERR2493607"	"ERR2493608"	"ERR2493609"	"ERR2493610"	"ERR2493611"	"ERR2493612"	"ERR2493613"	"ERR2493614"	"ERR2493615"	"ERR2493616"	"ERR2493617"	"ERR2493618"	"ERR2493619"	"ERR2493620"	"ERR2493621"	"ERR2493622"	"ERR2493623"	"ERR2493624"	"ERR2493625"	"ERR2493626"	"ERR2493627"	"ERR2493628"	"ERR2493629"	"ERR2493630"	"ERR2493631"	"ERR2493632"	"ERR2493633"	"ERR2493634"	"ERR2493635"	"ERR2493636"	"ERR2493637"	"ERR2493638"	"ERR2493639"	"ERR2493640"	"ERR2493641"	"ERR2493642"	"ERR2493643"	"ERR2493644"	"ERR2493645"	"ERR2493646"	"ERR2493647"	"ERR2493648"	"ERR2493649"	"ERR2493650"	"ERR2493651"	"ERR2493652"
"Seq38"	0	0	659	0	50	0	12	0	0	0	183	879	0	216	0	3051	21	580	0	0	715	0	455	0	0	0	0	0	0	448	0	0	0	311	0	30	0	0	1179	0	61	82	2864	0	123	0	0	2302	0	136	0	0	0	0	0	86	660	13	0	0	8	941	77	0	0	63	73	0	72	556	60	89	0	91	42	0	0	16	0	0	46	0	52	194	0	151	176	358	120	0	0	0	0
"Seq39"	0	0	0	72	78	42	0	82	1844	0	180	130	0	0	50	0	0	0	0	974	1484	289	0	1169	901	1143	58	0	77	54	57	62	0	232	110	80	0	99	0	0	36	392	71	564	293	0	60	0	23	0	70	94	62	0	0	71	0	205	162	0	0	0	0	0	0	63	46	122	52	0	34	961	0	132	0	137	0	29	60	683	66	0	243	0	98	0	70	0	0	3250	138	0	0
"Seq40"	0	0	0	417	0	0	0	928	0	0	150	379	304	0	1098	0	63	0	0	206	31	0	0	2120	50	487	0	0	0	0	0	37	51	0	0	59	0	508	0	1890	370	2856	89	209	0	43	506	0	623	0	0	51	0	46	0	287	0	157	105	106	1241	0	64	0	0	142	0	0	51	0	0	312	0	388	0	0	16	111	0	178	78	0	60	0	0	0	85	0	176	0	0	0	0
"Seq41"	14	0	0	68	85	63	0	54	1671	0	185	122	0	0	66	0	0	0	0	919	1454	228	0	1107	801	1096	40	0	85	55	87	53	42	186	89	93	0	100	0	0	35	372	53	534	269	0	85	0	0	0	65	73	83	0	0	50	0	166	141	0	0	0	0	0	0	39	50	124	56	0	0	927	0	101	0	112	0	29	50	631	45	0	266	0	74	0	84	0	0	3389	123	0	0
"Seq42"	0	0	607	0	63	0	0	0	0	0	133	791	0	191	0	2763	16	499	0	54	610	0	458	0	33	0	0	0	0	385	0	0	0	256	0	51	0	0	1096	0	62	56	2754	17	107	0	0	2121	0	130	0	0	0	0	0	81	528	10	0	14	0	722	60	0	0	74	51	40	52	476	0	73	0	75	30	0	0	0	0	0	45	0	0	166	0	123	142	316	140	0	0	0	0
"Seq43"	0	0	55	172	33	0	117	0	330	0	692	23	51	118	27	120	58	101	0	47	0	0	287	390	669	223	1005	0	232	307	352	270	46	129	39	409	0	1283	83	133	1092	0	0	0	202	0	44	397	149	0	0	277	174	274	0	223	28	92	50	33	197	150	718	0	0	171	78	0	90	28	268	517	0	385	0	0	66	0	478	450	100	0	30	0	321	45	120	49	0	481	386	0	0
"Seq44"	0	0	0	0	0	0	0	0	787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3792	0	0	25	0	1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1051	48	740	0	0	0	0	0	0	0	0	0	0	0	0	56	35	424	0	938	1545	0	0	0	13	701	0	1920	993	76	23	0	0	0	43	48	75	0	147	0	0	0
"Seq45"	0	0	39	44	33	0	96	185	98	0	118	0	100	0	0	0	89	61	0	291	278	178	137	666	1181	249	664	0	27	66	102	25	375	479	100	191	0	0	0	1149	376	117	50	26	165	0	55	76	38	57	112	26	60	99	0	294	0	990	0	563	111	0	0	0	0	96	148	142	128	54	176	208	0	228	60	181	59	19	310	115	111	45	0	31	1076	0	89	46	0	1036	0	0	0
"Seq46"	0	0	135	4	41	0	26	0	0	0	0	0	0	0	0	52	0	0	0	269	1380	66	0	0	0	9	0	0	0	0	0	444	0	5	0	0	0	397	225	0	64	594	783	178	119	0	10	2141	111	290	0	179	35	0	0	433	843	874	18	246	57	452	964	0	10	28	225	104	83	0	0	59	0	69	128	60	0	0	0	0	75	19	203	260	37	219	70	119	57	190	89	0	413
"Seq47"	43	20	0	199	86	115	95	0	0	23	95	46	129	25	0	153	106	0	0	118	152	39	297	131	117	112	779	0	194	99	121	191	239	59	135	53	59	35	144	51	108	50	176	0	528	32	23	97	53	34	264	105	722	315	36	20	33	32	119	0	29	57	34	0	0	23	54	180	86	136	0	418	46	142	64	657	252	1034	46	125	194	0	57	0	20	40	0	26	1006	1491	462	48	52
